codigo_ocorrencia4;recomendacao_numero;recomendacao_dia_assinatura;recomendacao_dia_encaminhamento;recomendacao_dia_feedback;recomendacao_conteudo;recomendacao_status;recomendacao_destinatario_sigla;recomendacao_destinatario
79129;A-019/CENIPA/2020 - 01;2021-07-08;2021-08-04;2022-05-03;Atuar junto à Aeroagrícola do Vale, COA 2011-10-4IDR-03-01, no intuito de que aquele operador aprimore seu Sistema de Gerenciamento de Segurança Operacional (SGSO).;IMPLEMENTADA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
79129;A-019/CENIPA/2020 - 02;2021-07-08;2021-08-04;2021-08-30;Divulgar os ensinamentos colhidos na presente investigação, a fim de alertar pilotos e operadores da aviação civil brasileira sobre os riscos decorrentes da realização de voos a baixa altura em regiões propícias à ocorrência de turbulência orográfica.;IMPLEMENTADA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
79128;A-018/CENIPA/2020 - 01;2020-12-29;2021-01-22;2021-02-04;Divulgar os ensinamentos colhidos na presente investigação, no intuito de aumentar o nível de atenção dos pilotos agrícolas quanto à consciência situacional que envolvem esta atividade, bem como alertá-los sobre a importância de se executar um bom planejamento para a prevenção de novos acidentes.;IMPLEMENTADA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
79125;IG-008/CENIPA/2020 - 01;2021-07-08;2021-08-04;2022-07-19;Analisar, junto à UAP da Secretaria de Segurança Pública e Defesa Social do Estado do Ceará, a adequabilidade dos procedimentos previstos em SOP, relativos à divisão de tarefas durante a operação de aeronaves e à disseminação das técnicas de CRM dos tripulantes.;IMPLEMENTADA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
79125;IG-008/CENIPA/2020 - 02;2021-07-08;2021-08-04;2022-07-19;Analisar, junto à UAP da Secretaria de Segurança Pública e Defesa Social do Estado do Ceará, a adequação dos instrumentos utilizados para a avaliação de desempenho dos copilotos, notadamente, na operação dos sistemas de navegação das aeronaves.;IMPLEMENTADA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
79124;A-010/CENIPA/2020 - 01;2021-02-12;2021-02-27;2021-03-03;Divulgar os ensinamentos colhidos na presente investigação, com a finalidade de alertar os operadores e proprietários de aeronaves experimentais, quanto aos riscos associados à execução da atividade aérea sem a fiel observância das normas operacionais, regulamentos ou regras de tráfego aéreo, notadamente na realização de manobras à baixa altura.;IMPLEMENTADA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
79121;A-009/CENIPA/2020 - 01;2022-02-09;2022-02-16;2022-02-21;Atuar junto ao CIOPAER, a fim de que aquele Centro demonstre que aprovou, implementou e mantém continuamente adequados à sua realidade operacional um Sistema de Gerenciamento da Segurança Operacional (SGSO), um Manual de Gerenciamento da Segurança Operacional (MGSO), um Manual de Operações (MOP), um Programa de Treinamento (PTO) e Standart Operational Procedures (SOP - Procedimentos Operacionais Padrão), de acordo com o que prevê o Apêndice A do RBAC nº 90.;AGUARDANDO RESPOSTA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
79121;A-009/CENIPA/2020 - 02;2022-02-09;2022-02-16;2022-05-10;Atuar junto ao CIOPAER, no intuito de que aquele Centro demonstre que os procedimentos, os requisitos estabelecidos e as responsabilidades relacionadas à supervisão gerencial das atividades estão implantados, adequadamente definidos e sendo cumpridos, notadamente no que diz respeito ao controle da documentação da organização, à execução e controle da manutenção das aeronaves e às atividades de planejamento, execução e acompanhamento de desempenho nos âmbitos, administrativo, técnico e operacional.;IMPLEMENTADA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
79121;A-009/CENIPA/2020 - 03;2022-02-09;2022-02-15;NULL;Atuar junto ao CIOPAER, a fim de que aquele Centro estruture um Programa de Treinamento em CRM para a organização, de acordo com o que prevê a Subparte M do RBAC nº 90 e a IS 00-010A.;AGUARDANDO RESPOSTA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
79121;A-009/CENIPA/2020 - 04;2022-02-09;2022-02-16;2022-02-21;Divulgar os ensinamentos colhidos na presente investigação, junto aos operadores regidos pelo RBAC nº 90, a fim de salientar a necessidade do fiel cumprimento dos requisitos estabelecidos, assim como a importância de implementar e manter funcionando adequadamente os dispositivos estabelecidos por este regulamento como ferramenta de prevenção de ocorrências aeronáuticas.;IMPLEMENTADA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
79120;A-005/CENIPA/2020 - 01;2021-07-21;2021-08-18;2022-04-14;Atuar junto à Avante Aviação Agrícola Ltda., no sentido de que este operador demonstre que os processos destinados a garantir a efetividade do seu SGSO estão adequadamente implantados.;IMPLEMENTADA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
79115;A-020/CENIPA/2020 - 01;2022-08-05;2022-08-11;NULL;Atuar junto à empresa Xingu Aero Agrícola Ltda., a fim de que aquele operador aprimore o Sistema de Gerenciamento de Segurança Operacional (SGSO) adotado, sobretudo no que diz respeito aos mecanismos de supervisão gerencial e gerenciamento de risco de suas operações aeroagrícolas.;AGUARDANDO RESPOSTA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
79111;A-015/CENIPA/2020 - 01;2021-07-08;2021-08-04;2022-08-30;Atuar junto à São Bento Aviação Agrícola LTDA., no sentido de que aquele operador aprimore os seus mecanismos de supervisão gerencial, particularmente no que concerne ao recebimento de aeronaves após a execução de serviços de manutenção e à aprovação para retorno ao serviço.;NÃO IMPLEMENTADA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
79111;A-015/CENIPA/2020 - 02;2021-07-08;2021-07-26;NULL;Atuar junto à empresa Sanagri Manutenção de Aeronaves LTDA., no intuito de que aquela organização de manutenção aprimore os seus mecanismos de supervisão gerencial, particularmente no que concerne à qualidade dos serviços executados por ela e à garantia de conformidade na aprovação para retorno ao serviço dos componentes e aeronaves que mantém, notadamente no que concerne à conversão de motores para utilização de etanol como combustível.;AGUARDANDO RESPOSTA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
79111;A-015/CENIPA/2020 - 03;2021-07-08;2021-07-26;NULL;Atuar junto à empresa São Bento Aviação Agrícola LTDA., de modo que que aquele operador oriente seus tripulantes a sempre manterem a bomba elétrica auxiliar ligada durante todas as fases do voo, conforme prevê o Boletim de Informação (BI) 200-028-0022, emitido pela EMBRAER.;AGUARDANDO RESPOSTA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
79111;A-015/CENIPA/2020 - 04;2021-07-08;2021-07-26;NULL;Analisar a pertinência de revisar a IS nº 137.201-001, a fim de verificar a viabilidade de substituição do termo “recomendações” (item 5.7) por outro que dê caráter mandatório aos procedimentos descritos.;AGUARDANDO RESPOSTA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
79109;A-004/CENIPA/2020 - 01;2022-07-08;2022-07-19;NULL;Atuar junto à Savana Aeroagrícola Ltda., a fim de assegurar que os métodos de controle e supervisão de suas operações de voo, bem como seus processos previstos no Manual de Gerenciamento da Segurança Operacional (MGSO), assegurem a adequada identificação de perigos e de avaliação e mitigação dos riscos relativos à operação em áreas de pouso para uso aeroagrícola.;AGUARDANDO RESPOSTA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
79097;A-012/CENIPA/2020 - 01;2021-07-08;2021-08-04;2021-08-27;Divulgar os ensinamentos da presente investigação, a fim de alertar pilotos e operadores da aviação agrícola brasileira, sobre os riscos relativos à atenção requerida para o correto gerenciamento do combustível.;IMPLEMENTADA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
79064;IG-062/CENIPA/2019 - 01;2021-09-17;2021-09-29;2021-10-13;Divulgar os ensinamentos colhidos na presente investigação, com a finalidade de alertar os operadores de aeronaves quanto aos riscos associados ao gerenciamento inadequado da carga de trabalho, notadamente nas fases críticas do voo.;IMPLEMENTADA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
79060;A-084/CENIPA/2019 - 01;2022-03-11;2022-03-15;2022-03-18;Divulgar os ensinamentos colhidos na presente investigação, com o objetivo de orientar os operadores de aeronaves utilizadas em operações privadas de fomento ou proteção da agricultura em geral sobre a necessidade de adotarem medidas mitigadoras, buscando dotar as áreas de pouso para uso aeroagrícola com a infraestrutura necessária para gerenciar os riscos decorrentes desse tipo de operação.;IMPLEMENTADA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
79049;A-002/CENIPA/2020 - 01;2021-09-17;2021-10-05;2022-06-07;Atuar junto à Aeromaj Aviação Agrícola Ltda., a fim de elevar seu nível de desempenho da segurança operacional, tendo em vista as ocorrências registradas com aeronaves daquela empresa nos anos de 2018, 2019, 2020 e 2021.;IMPLEMENTADA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
79043;A-001/CENIPA/2020 - 01;2021-02-12;2021-04-12;2021-04-22;Divulgar os ensinamentos colhidos na presente investigação, com a finalidade de alertar os operadores e proprietários de aeronaves, quanto aos riscos associados à execução da atividade aérea sem a fiel observância das normas operacionais, regulamentos ou regras de tráfego aéreo, notadamente na operação com habilitação vencida e em aeródromo não cadastrado pela Agência.;IMPLEMENTADA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
79042;A-157/CENIPA/2019 - 01;2021-07-08;2021-07-26;NULL;Alertar pilotos, operadores e mantenedores de aeronaves agrícolas sobre os riscos decorrentes da conversão dos motores aeronáuticos para utilização de etanol como combustível sem que seja observado o constante na IS 137.201-001, ou sem que tal conversão esteja de acordo com as previsões do CST 2004S10-01;AGUARDANDO RESPOSTA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
79042;A-157/CENIPA/2019 - 02;2021-07-08;2021-08-04;2021-08-27;Divulgar os ensinamentos colhidos na presente investigação, no intuito de aumentar o nível de atenção dos pilotos agrícolas quanto ao planejamento de combustível, em especial às quantidades de combustível não utilizável conforme manual do fabricante.;IMPLEMENTADA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
79035;A-156/CENIPA/2019 - 01;2021-08-19;2021-08-26;2021-09-01;Atuar junto à Aereo Agrícola Fornagieri Ltda., a fim de certificar-se de que os itens previstos em seu Manual de Gerenciamento de Segurança Operacional (MGSO), em especial às medidas de identificação, avaliação e mitigação dos riscos afetos à operação, sejam fielmente observados.;AGUARDANDO RESPOSTA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
79035;A-156/CENIPA/2019 - 02;2021-08-19;2021-08-26;2021-09-16;Divulgar os ensinamentos colhidos na presente investigação, com o objetivo de alertar pilotos e operadores da aviação agrícola brasileira sobre os riscos de colisão com linhas de transmissão elétrica decorrentes de planejamentos de voo pouco detalhados.;IMPLEMENTADA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
79034;A-155/CENIPA/2019 - 01;2021-08-19;2021-08-26;2021-09-16;Divulgar o conteúdo deste relatório como forma de conscientizar os operadores aeroagrícolas sobre a importância da padronização de procedimentos operacionais que representem barreiras ao erro humano, assim como sobre a necessidade de aumento do alerta situacional durante operações nas quais existam uma elevada sequência de pousos e decolagens.;IMPLEMENTADA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
78839;A-152/CENIPA/2019 - 01;2021-09-17;2021-09-23;NULL;Reavaliar os processos de fiscalização aeroportuária de aeródromos delegados por meio de Convênios, objetivando criar mecanismos internos que permitam mitigar os riscos relacionados à operação desses aeródromos.;AGUARDANDO RESPOSTA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
78836;A-148/CENIPA/2019 - 01;2021-07-08;2021-08-04;2022-03-09;Atuar junto ao operador, a fim de que ele aperfeiçoe seus procedimentos de planejamento de voo e de manutenção da aeronave.;IMPLEMENTADA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
78832;A-144/CENIPA/2019 - 01;2021-08-19;2021-08-26;2022-06-07;Atuar junto ao operador da aeronave, no sentido de que procedimentos de avaliação de risco sejam adotados para a operação de turbojatos, em aeródromos cujos dados não constem do data bank do sistema de percepção e alarme de proximidade do solo (TWAS/EGPWS) e que não sejam equipados com sistema visual indicador de rampa de aproximação.;IMPLEMENTADA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
78832;A-144/CENIPA/2019 - 02;2021-08-19;2021-08-26;2022-02-03;Atuar junto às clínicas médicas credenciadas para a realização de inspeções de saúde dos aeronavegantes a fim de que, nos casos de condições de saúde com prognóstico de agravamento, e que possam implicar em prejuízos à segurança de voo, a indicação de acompanhamento da evolução de tais condições seja objetiva e claramente registrada.;IMPLEMENTADA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
78832;A-144/CENIPA/2019 - 03;2021-08-19;2021-08-26;2021-09-15;Divulgar os ensinamentos colhidos na presente investigação, a fim de alertar pilotos e operadores da aviação civil sobre a importância do fiel cumprimento das normas operacionais e dos manuais de voo das aeronaves, além do uso das técnicas adequadas de CRM.;IMPLEMENTADA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
78832;A-144/CENIPA/2019 - 04;2021-08-19;2021-08-26;2021-09-15;Divulgar os ensinamentos colhidos na presente investigação, a fim de alertar pilotos e operadores da aviação civil brasileira sobre a importância do correto planejamento de voo e da realização de aproximações estabilizadas, buscando alertá-los quanto aos riscos decorrentes da operação das aeronaves turbojatos, em aeródromos que não sejam equipados com sistema visual indicador de rampa de aproximação e cujos dados não constem do data bank do respectivo sistema de percepção e alarme de proximidade do solo.;IMPLEMENTADA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
78799;IG-063/CENIPA/2019 - 01;2021-03-29;2021-04-26;2021-08-27;Atuar junto aos controladores do APP-ES, a fim de assegurar que aqueles profissionais se mantenham proficientes na execução das atividades de controle de tráfego aéreo empregando a língua inglesa.;IMPLEMENTADA;DECEA;DEPARTAMENTO DE CONTROLE DE ESPAÇO AÉREO
78799;IG-063/CENIPA/2019 - 02;2021-03-29;2021-04-26;2021-08-27;Atuar junto aos controladores do APP-ES, no intuito de assegurar que aqueles profissionais cumpram os requisitos estabelecidos no Modelo Operacional do APP-ES, particularmente no que concerne à transferência dos tráfegos já sequenciados e separados para ingresso no circuito de tráfego.;IMPLEMENTADA;DECEA;DEPARTAMENTO DE CONTROLE DE ESPAÇO AÉREO
78793;A-139/CENIPA/2019- 01;2021-07-08;2021-07-27;2021-12-28;Atuar junto ao Aeroclube de Pará de Minas, a fim de que aquele operador aperfeiçoe os processos de capacitação e treinamento, no que diz respeito à aplicação dos procedimentos de emergência previstos nos Manuais das aeronaves utilizadas nos voos de instrução.;IMPLEMENTADA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
78785;A-132/CENIPA/2019 - 01;2022-09-21;2022-09-27;NULL;Atuar junto à empresa Two Táxi Aéreo Ltda., a fim de que aquele operador realize uma análise operacional, buscando adequar seus mecanismos de planejamento de voo, visando incrementar os níveis de segurança operacional.;AGUARDANDO RESPOSTA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
78780;A-127/CENIPA/2019 - 01;2022-07-08;2022-07-25;NULL;Atuar junto ao Operador do Aeródromo de Atibaia (SDTB) de forma que as balizas de borda de pista sejam adequadas aos requisitos estabelecidos no RBAC 154 e às orientações contidas no Manual de Frangibilidade da ANAC, objetivando mitigar os riscos das operações aéreas naquele aeródromo.;AGUARDANDO RESPOSTA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
78780;A-127/CENIPA/2019 - 02;2022-07-08;2022-07-25;NULL;Avaliar a necessidade de atuar junto à TRIKE ICAROS IND. AER. LTDA, de forma a garantir que aquele fabricante atualize seus manuais de operação conforme orienta a Instrução Suplementar Nº 21.191-001, Revisão A.;AGUARDANDO RESPOSTA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
78780;A-127/CENIPA/2019 - 03;2022-07-08;2022-07-25;NULL;Atuar junto à LOOPING ESCOLA DE AVIAÇÃO LEVE LTDA - ME de modo a garantir que aquele Centro de Instrução de Aviação Civil (CIAC) adeque seus manuais de operação, a fim de que sejam respeitados os limites operacionais determinados pelos fabricantes das aeronaves ou pelo CIAC, observando o que for mais restritivo.;AGUARDANDO RESPOSTA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
78779;A-126/CENIPA/2019 - 01;2021-03-29;2021-04-13;NULL;Atuar junto à empresa Taim Aero Agrícola Ltda., a fim de que o operador aprimore o Sistema de Gerenciamento de Segurança Operacional (SGSO), sobretudo no que diz respeito aos mecanismos de planejamento de voo e avaliação dos riscos nas suas áreas de operação.;AGUARDANDO RESPOSTA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
